                                              Dest      17kW      10kW      64kW      21kW       8kW      11kW      14kW      40kW      16kW      13kW       6kW      20kW
                        Holiday House Palm Springs         0         0         0         0         0         0         0         0         2         0         0         0
                                Embarc Palm Desert         0         0         0         0         0         0         0         0         1         0         0         0
                           Black Oak Casino Resort         5         0         0         0         0         0         0         0         0         0         0         0
              Embassy Suites by Hilton - LAX South         0         0         0         0         1         0         0         0         0         0         0         0
                                 Shore Cliff Hotel         0         0         0         0         0         0         0         0         1         0         0         0
                           SummerWood Winery & Inn         0         0         0         0         0         0         0         0         2         0         0         0
                                   Evergreen Lodge         0         0         0         0         0         0         0         0         0         1         0         0
                         Valley of the Moon Winery         0         0         0         0         0         0         0         0         0         1         0         0
                                Elk Cove Inn & Spa         0         0         0         0         1         0         0         0         0         0         0         0
   Hyatt Place at Anaheim Resort/Convention Center         0         0         0         0         0         0         0         0         2         0         0         0
                          The Landing Resort & Spa         0         0         0         0         0         0         0         0         1         0         0         0
                                   Hollywood Hotel         0         0         0         0         3         0         0         0         0         0         0         0
         Doubletree by Hilton Los Angeles Downtown         0         0         0         0         1         0         0         0         0         0         0         0
                                 The Victorian Inn         0         1         0         0         0         0         0         0         0         0         0         0
                     Grass Valley Courtyard Suites         0         0         0         0         0         0         0         0         0         2         0         0
                                 Long Meadow Ranch         0         0         0         0         0         0         0         0         0         2         0         0
                         Viader Vineyards & Winery         0         0         0         0         0         0         0         0         2         0         0         0
                                   Chateau Marmont         0         0         0         0         2         0         0         0         0         0         0         0
         DoubleTree by Hilton Los Angeles/Rosemead         0         0         0         0         2         0         0         0         0         0         0         0
                                           h2hotel         0         0         0         0         1         0         0         0         0         0         0         0
                            Jada Vineyard & Winery         0         0         0         0         2         0         0         0         0         0         0         0
                        Ayres Suites - Diamond Bar         0         0         0         0         0         0         0         0         3         0         0         0
                                  Yao Family Wines         0         0         0         0         1         0         0         0         0         0         0         0
                             Turnbull Wine Cellars         0         0         0         0         0         0         0         0         1         0         0         0
                                 The Huntley Hotel         0         0         0         0         1         0         0         0         0         0         0         0
         San Francisco Airport Marriott Waterfront         0         0         0         0         0         0         0         0         0         1         0         0
                               Italics Winegrowers         0         0         0         0         0         0         0         0         1         0         0         0
       Inn on Randolph, a Select Registry Property         0         0         0         0         0         0         0         0         0         1         0         0
                   Ayres Hotel & Suites Costa Mesa         0         0         0         0         0         0         0         0         2         0         0         0
                               Saint Helena Winery         0         0         0         0         0         0         0         0         2         0         0         0
                                    Post Ranch Inn         0         0         0         0         0         0         0         0         0         3         0         0
                        The Inn at Rancho Santa Fe         0         0         0         0         0         0         0         0         2         0         0         0
                                 Chalet View Lodge         0         0         0         0         3         0         0         0         0         0         0         0
                  Le Meridien Delfina Santa Monica         0         0         0         0         2         0         0         0         0         0         0         0
